"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"60:e6:f0:d4:e6:6c","3C:82:C0:D6:09:60",POOR
"d8:9c:8e:00:03:cf","D4:E2:CB:9D:58:A4",EXCELLENT
"d8:9c:8e:00:04:1f","D4:E2:CB:9D:64:14",EXCELLENT
"d8:9c:8e:00:04:38","E0:DB:D1:DC:7B:B7",FAIR
"d8:9c:8e:00:04:51","80:DA:C2:BE:76:78",EXCELLENT
"d8:9c:8e:00:05:23","F8:79:0A:0E:36:50",EXCELLENT
"d8:9c:8e:00:05:af","F8:79:0A:0E:36:0E",EXCELLENT
"d8:9c:8e:00:08:52","F8:79:0A:0E:36:D4",FAIR
"d8:9c:8e:00:08:61","A8:70:5D:E2:B2:3A",POOR
"d8:9c:8e:00:09:97","D4:E2:CB:9D:63:94",FAIR
"d8:9c:8e:00:0a:3c","AC:4C:A5:AA:86:28",EXCELLENT
"d8:9c:8e:00:0b:77","F8:5E:42:3F:A3:06",POOR
"d8:9c:8e:00:0b:a4","64:67:72:AD:94:5D",FAIR
"d8:9c:8e:00:0b:b3","1C:9E:CC:21:87:3C",EXCELLENT
"d8:9c:8e:00:0b:b8","E8:CD:15:B8:45:E4",GOOD
"d8:9c:8e:00:0b:d1","D4:E2:CB:CF:DC:50",GOOD
"d8:9c:8e:00:0b:db","AC:4C:A5:B3:9F:F0",EXCELLENT
"d8:9c:8e:00:0b:e5","80:DA:C2:DF:61:FE",FAIR
"d8:9c:8e:00:0b:ea","64:67:72:8F:67:14",FAIR
"d8:9c:8e:00:0c:49","E4:BF:FA:FF:EB:E4",EXCELLENT
"d8:9c:8e:00:0c:53","80:DA:C2:DF:62:7C",EXCELLENT
"d8:9c:8e:00:0c:76","80:DA:C2:0E:6A:9D",FAIR
"d8:9c:8e:00:0c:80","E8:CD:15:BA:E0:18",FAIR
"d8:9c:8e:00:0c:8a","64:67:72:AD:AB:F6",GOOD
"d8:9c:8e:00:0d:20","E4:BF:FA:FF:E5:A4",EXCELLENT
"d8:9c:8e:00:0d:bb","5C:7D:7D:50:5F:84",FAIR
"d8:9c:8e:00:0e:29","5C:22:DA:3C:B4:9F",FAIR
"d8:9c:8e:00:0e:65","C4:4F:D5:F0:04:54",POOR
"d8:9c:8e:00:0e:79","C4:50:9C:60:F8:7C",POOR
"d8:9c:8e:00:0e:97","C4:50:9C:8D:4D:84",FAIR
"d8:9c:8e:00:11:80","1C:9E:CC:21:7A:2C",UNAVAILABLE
"d8:9c:8e:00:11:99","5C:22:DA:3D:33:EF",EXCELLENT
"d8:9c:8e:00:15:81","AC:4C:A5:59:84:46",POOR
"d8:9c:8e:00:15:b8","5C:22:DA:3D:15:BF",POOR
"d8:9c:8e:00:15:bd","1C:9E:CC:21:B8:DC",GOOD
"d8:9c:8e:00:15:d6","98:9D:5D:D0:8E:8F",FAIR
"d8:9c:8e:00:15:e0","64:67:72:8F:6F:BF",POOR
"d8:9c:8e:00:15:ea","3C:2D:9E:A2:54:AC",GOOD
"d8:9c:8e:00:15:ef","58:96:30:3F:CB:62",POOR
"d8:9c:8e:00:16:21","98:9D:5D:7F:C2:E3",EXCELLENT
"d8:9c:8e:00:16:30","3C:2D:9E:B5:59:24",FAIR
