DeviceNum,Category,XLE_MAC,XB_MAC,XLE_IP,XLE_Version,XB_Version,RSRP_dBm,RSRQ_dB,SNR_dB,RSSI_dBm,RadioEnvConditions,BandInfo_dmcli,Band_actual,EARFCN,BandBW_MHz,CA_Active,CA_TotalBW_MHz,PCI,GlobalCellId,TAC,TimingAdvance_us,CellDistance_km,DL_Mbps,UL_Mbps,Ping_ms,Latency_avg_ms,Latency_min_ms,Latency_max_ms,PacketLoss_pct,SpeedtestServer,ServerDistance_km,Neighbors_IntraFreq,Neighbors_InterFreq,PLMN,UE_InIdle_During_Test,Serving_RSRP_Connected_dBm,Serving_RSRQ_Connected_dB,SNR_During_Test_dB,Timestamp
1,EXCELLENT,d8:9c:8e:00:03:cf,D4:E2:CB:9D:58:A4,169.254.85.238,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-65,-6,30.0,-37,EXCELLENT,13,eutran-13,5230,10,No,10,490,265449540,26100,0,0.0,57.31,15.98,93.16,71.249,43.272,286.000,10,Comcast (Plainfield NJ),81.52,0,0,311048,No,-64.3,-6.5,30.0,2026-06-04T00:44Z
4,POOR,d8:9c:8e:00:17:4f,1C:9E:CC:21:C0:A4,169.254.1.109,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-105,-14,4.6,-72,POOR,13,eutran-4,2125,15,No_Deconfigured,25,256,26208790,26115,20,3.0,23.18,4.65,67.945,40.882,23.473,163.194,1,ReliableSite (Piscataway NJ),117.02,3,4,311048,No,-103.7,-12.2,6.8,2026-06-04T00:39Z
2,EXCELLENT,d8:9c:8e:00:04:1f,D4:E2:CB:9D:64:14,169.254.85.174,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-73,-6,27.2,-49,EXCELLENT,13,eutran-13,5230,10,No,10,490,265449540,26100,0,0.0,29.88,10.01,91.098,75.583,44.592,290.030,9,Spectrum (New York NY),119.96,0,0,311048,No,-71.5,-6.2,24.4,2026-06-04T01:00Z
3,EXCELLENT,d8:9c:8e:00:04:51,80:DA:C2:BE:76:78,169.254.1.226,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.2p7s1_PROD_sey,-59,-5,30.0,-36,EXCELLENT,4,eutran-2,1000,10,No_Deconfigured,20,13,25239064,25104,3,0.5,FAIL,FAIL,,,,,,,,0,1,311048,No,-59.1,-3.1,29.4,2026-06-04T01:10Z
4,EXCELLENT,d8:9c:8e:00:0a:3c,AC:4C:A5:AA:86:28,169.254.1.132,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.1p1s1_PROD_sey,-73,-6,10.8,-51,EXCELLENT,4,eutran-2,1000,10,No_Deconfigured,20,12,25239054,25104,3,0.5,21.37,19.27,79.689,42.630,21.231,171.771,1,Spectrum (New York NY),130.65,1,1,311048,No,-73.6,-5.7,9.6,2026-06-04T01:32Z
5,EXCELLENT,d8:9c:8e:00:0b:b3,1C:9E:CC:21:87:3C,169.254.1.112,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-61,-7,26.8,-40,EXCELLENT,4,eutran-2,1000,10,No_Deconfigured,35,13,25239064,25104,3,0.5,37.49,19.56,105.977,46.170,20.543,201.769,0,Northland Communications (Syracuse NY),355.71,4,2,311048,No,-61.9,-3.3,25.6,2026-06-04T01:55Z
6,EXCELLENT,d8:9c:8e:00:0d:20,E4:BF:FA:FF:E5:A4,169.254.85.188,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.5p2s3_PROD_sey,-58,-5,30.0,-33,EXCELLENT,4,eutran-4,2125,10,No_Deconfigured,35,13,25239062,25104,,,,143.28,41.41,42.175,14.658,12.648,27.630,0,,,0,0,311048,No,-56.3,-3.0,30.0,2026-06-04T02:20Z
7,EXCELLENT,d8:9c:8e:00:16:21,98:9D:5D:7F:C2:E3,169.254.1.202,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-80,-9,25.4,-49,EXCELLENT,4,eutran-4,2100,10,No_Deconfigured,30,326,35121440,35078,,,,88.11,38.05,48.14,29.995,22.528,62.559,0,,,1,1,311048,No,-81.1,-10.6,29.6,2026-06-04T02:20Z
8,EXCELLENT,d8:9c:8e:00:18:97,1C:9E:CC:21:95:24,169.254.1.46,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-67,-6,28.2,-49,EXCELLENT,13,eutran-2,1000,10,No_Deconfigured,30,14,25239074,25104,,,,186.86,36.56,49.777,33.701,15.768,126.695,0,,,0,1,311048,No,-67.9,-4.4,27.4,2026-06-04T02:20Z
9,EXCELLENT,d8:9c:8e:00:19:dc,B8:5E:71:F5:D0:0C,169.254.1.227,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-69,-6,30.0,-46,EXCELLENT,4,eutran-2,1000,10,No_Deconfigured,35,11,25238818,25104,,,,100.83,40.28,44.582,20.921,13.942,54.759,0,,,0,2,311048,No,-66.3,-3.0,30.0,2026-06-04T03:00Z
10,EXCELLENT,d8:9c:8e:00:1a:1d,08:A7:C0:45:76:14,169.254.1.148,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-65,-5,28.8,-41,EXCELLENT,2,eutran-4,2125,10,No_Deconfigured,35,10,25238806,25104,,,,106.72,40.37,37.753,23.267,15.314,132.398,0,,,1,4,311048,No,-64.2,-3.0,30.0,2026-06-04T03:00Z
11,EXCELLENT,d8:9c:8e:00:1d:c9,E4:BF:FA:7D:4B:3D,169.254.1.158,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-82,-9,20.6,-54,EXCELLENT,5,eutran-4,2050,10,No_Deconfigured,40,8,53119264,53003,,,,108.42,85.43,40.888,31.711,15.305,209.245,0,,,1,2,311048,No,-81.4,-8.2,15.6,2026-06-04T03:00Z
12,EXCELLENT,d8:9c:8e:00:1d:ec,1C:9E:CC:21:A5:FC,169.254.1.193,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.5p2s3_PROD_sey,-83,-7,9.8,-56,EXCELLENT,2,eutran-4,2100,10,No,10,132,3619104,3584,,,,73.95,54.74,87.363,19.380,9.319,179.126,0,,,1,0,311048,No,-80.4,-7.4,12.6,2026-06-04T03:30Z
13,EXCELLENT,d8:9c:8e:00:1e:37,58:96:30:3F:C4:8C,169.254.1.124,WNXL11BWL_8.3p11s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-74,-8,21.6,-43,EXCELLENT,2,eutran-4,2050,10,No,10,81,80235020,3328,,,,97.40,67.59,49.037,18.378,8.637,62.098,1,,,1,0,311048,No,-70.2,-9.9,23.6,2026-06-04T03:30Z
14,EXCELLENT,d8:9c:8e:00:20:58,5C:22:DA:3C:F1:6F,169.254.1.132,WNXL11BWL_8.3p11s1_PROD_sey,CGM601TCOM_8.3p5s1_PROD_sey,-83,-11,28.8,-52,EXCELLENT,4,eutran-4,2050,10,No,10,199,37654826,37632,,,,128.05,39.59,40.419,26.879,17.101,139.486,2,,,0,1,311048,No,-81.4,-9.8,28.4,2026-06-04T03:30Z
15,EXCELLENT,,,169.254.0.119,,,,,,,EXCELLENT,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T03:45Z
16,EXCELLENT,d8:9c:8e:00:28:32,58:96:30:3F:CC:9D,169.254.1.243,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-79,-8,24.2,-54,EXCELLENT,2,eutran-4,2125,10,No,10,322,25146646,25103,,,,52.21,22.12,59.944,33.243,14.907,151.992,0,,,1,2,311048,No,-81.9,-8.2,18.2,2026-06-04T03:45Z
17,EXCELLENT,d8:9c:8e:00:28:41,1C:9E:CC:25:A8:A6,169.254.1.9,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-85,-15,-2.2,-54,GOOD,4,eutran-66,67086,10,No,10,261,25171730,25104,,,,64.53,38.92,41.821,22.327,15.614,86.564,3,,,2,4,311048,No,-85.2,-11.6,2.8,2026-06-04T03:45Z
18,EXCELLENT,d8:9c:8e:00:28:69,AC:4C:A5:B2:DD:20,169.254.1.49,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-73,-5,18.8,-50,EXCELLENT,4,eutran-4,2125,10,No,10,34,25099286,25104,,,,97.21,38.53,49.758,35.196,28.247,78.783,0,,,0,1,311048,No,-73.3,-3.3,17.8,2026-06-04T03:45Z
19,EXCELLENT,d8:9c:8e:00:2d:eb,1C:9E:CC:21:94:D4,169.254.1.241,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.5p2s3_PROD_sey,-78,-9,24.6,-49,EXCELLENT,4,eutran-4,2125,10,No,10,278,25433888,25344,,,,121.79,37.68,51.06,22.866,14.341,62.230,1,,,0,2,311048,No,-77.4,-11.3,25.4,2026-06-04T04:00Z
20,EXCELLENT,d8:9c:8e:00:32:23,F8:5E:42:4D:F3:A9,169.254.1.103,WNXL11BWL_8.3p11s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-84,-16,3.4,-51,EXCELLENT,13,eutran-2,1000,10,No,10,287,80859682,3842,,,,155.40,40.67,28.812,18.861,13.152,118.757,0,,,2,2,311048,No,-85.3,-17.3,2.2,2026-06-04T04:00Z
21,EXCELLENT,d8:9c:8e:00:39:99,F4:C1:14:F9:FD:16,169.254.1.9,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-71,-8,30.0,-44,EXCELLENT,13,eutran-4,2050,10,No,10,447,14957836,14848,,,,116.51,163.65,29.171,24.629,9.983,382.040,0,,,0,2,311048,No,-72.6,-9.5,27.2,2026-06-04T04:00Z
22,EXCELLENT,d8:9c:8e:00:3c:fa,F8:D2:AC:03:6A:90,169.254.1.195,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-83,-7,29.8,-54,EXCELLENT,5,eutran-2,1050,10,No,10,344,14671394,14599,,,,119.02,42.79,38.186,22.384,16.464,49.830,1,,,0,1,311048,No,-82.3,-6.4,30.0,2026-06-04T04:15Z
